n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,ccp_alpha,train_acc,val_acc,fit_seconds,completed_at,grid_index,grid_total
200,10.0,,5,1,,0.0,0.7734665194257605,0.6255489021956088,81.495,2026-05-18T20:45:09.235836,409,1296
200,10.0,,5,4,,0.0,0.7622226684067864,0.6255489021956088,79.852,2026-05-18T20:55:46.775631,417,1296
100,,,2,1,,0.0001,0.9850416624836864,0.6255489021956088,87.745,2026-05-18T19:50:44.729848,290,1296
100,,sqrt,5,2,,0.0001,0.9735468326473246,0.6255489021956088,2.914,2026-05-18T19:37:41.764431,234,1296
200,10.0,,5,4,,0.0001,0.7607669912659372,0.6255489021956088,80.218,2026-05-18T20:57:07.066366,418,1296
400,20.0,sqrt,5,2,,0.0,0.9813271759863468,0.6255489021956088,9.665,2026-05-19T05:53:44.792728,1097,1296
200,20.0,sqrt,2,1,,0.0001,0.9777130810159622,0.6255489021956088,5.311,2026-05-18T21:15:48.734078,434,1296
400,,sqrt,10,4,,0.0001,0.914867985142054,0.6251497005988024,9.763,2026-05-19T08:00:39.916788,1222,1296
400,,sqrt,2,1,,0.0001,0.9865475353880132,0.6251497005988024,12.164,2026-05-19T07:55:50.216615,1190,1296
300,20.0,sqrt,5,2,,0.0,0.9816785463306897,0.6251497005988024,7.275,2026-05-19T00:50:10.087647,773,1296
100,20.0,,2,4,,0.0001,0.9423250677642807,0.6251497005988024,57.474,2026-05-18T19:14:29.497206,190,1296
100,20.0,,5,4,,0.0001,0.9423250677642807,0.6251497005988024,57.73,2026-05-18T19:24:58.250001,202,1296
100,20.0,,2,1,,0.0,0.9872502760766991,0.6251497005988024,61.946,2026-05-18T19:06:33.197626,181,1296
100,,,5,4,,0.0,0.9587390824214437,0.6251497005988024,69.195,2026-05-18T20:09:53.050302,309,1296
100,,,2,4,,0.0,0.9587390824214437,0.6251497005988024,69.401,2026-05-18T19:57:34.783183,297,1296
100,,sqrt,10,1,,0.0001,0.9513101094267644,0.6251497005988024,3.02,2026-05-18T19:38:00.957656,242,1296
400,20.0,sqrt,10,4,,0.0001,0.9136130910551149,0.6251497005988024,9.097,2026-05-19T05:56:08.834826,1114,1296
400,,sqrt,5,1,,0.0001,0.9822306997289428,0.6251497005988024,11.621,2026-05-19T07:57:40.847137,1202,1296
300,20.0,sqrt,2,2,,0.0001,0.9736974199377573,0.624750499001996,7.406,2026-05-19T00:49:00.339089,762,1296
200,,sqrt,10,4,,0.0001,0.914416223270756,0.624750499001996,4.984,2026-05-18T22:21:41.632158,574,1296
100,,sqrt,10,4,,0.0001,0.9119064350968779,0.624750499001996,2.586,2026-05-18T19:38:19.756634,250,1296
100,,sqrt,10,2,,0.0,0.958688886657966,0.624750499001996,2.811,2026-05-18T19:38:07.725130,245,1296
200,10.0,,2,1,,0.0001,0.7714586888866579,0.624750499001996,81.399,2026-05-18T20:30:30.495967,398,1296
100,20.0,sqrt,10,2,,0.0,0.9492520831241843,0.624750499001996,2.548,2026-05-18T19:04:40.210973,137,1296
400,20.0,sqrt,5,1,,0.0,0.9857444031723722,0.624750499001996,9.868,2026-05-19T05:53:10.234642,1093,1296
400,20.0,sqrt,2,1,,0.0,0.9918180905531573,0.6243512974051896,10.023,2026-05-19T05:51:27.743486,1081,1296
100,20.0,sqrt,10,2,,0.0001,0.9365023592008834,0.6243512974051896,2.541,2026-05-18T19:04:42.792921,138,1296
100,10.0,,5,1,,0.0001,0.7705049693805843,0.6243512974051896,42.572,2026-05-18T18:48:15.404077,86,1296
200,20.0,sqrt,2,2,,0.0001,0.9732456580664592,0.6243512974051896,5.01,2026-05-18T21:16:06.332301,438,1296
